Model,MAE,RMSE
Ratio OSRM Duration using all 3,187.7921869935678,347.5155001437422
Ratio OSRM Duration using Predicted km,188.16749772144192,349.410753409202
Ratio OSRM Duration using OSRM km,188.2936351069969,348.39463918993266
LightGBMOSRM SECONDS & PREDICTED,190.40122127125568,350.78668319593754
LightGBMOSRM SECONDS & OSRM KM & KM PRED,190.42057031977433,350.8317856137201
LightGBM quantileOSRM SECONDS & PREDICTED,190.45079863715847,351.40545490344454
LightGBM quantileOSRM SECONDS & OSRM KM,190.478451040879,351.0986294212669
LightGBMOSRM SECONDS,190.48970911741887,351.06822612401794
LightGBM quantileOSRM SECONDS,190.5090018702232,351.2802327316326
LightGBMOSRM SECONDS & OSRM KM,190.56308946010225,351.13214015255704
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,190.56629471234447,351.0906037212337
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,190.62294952472706,351.08245426401567
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.6877172151398,351.62034511713824
Ratio of OSRM and Predicted and Error Bias,192.56444540500925,354.6124641230517
LightGBMOSRM DISTANCE,195.83455911528927,358.40492422185713
LightGBM quantileOSRM DISTANCE,195.83455911528927,358.40492422185713
LightGBM quantilePREDICTED DISTANCE,196.44497772366844,360.4938742783705
LightGBMPREDICTED DISTANCE,196.44497772366844,360.4938742783705
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,224.14503939173122,2291.665886496248
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,224.14503939173122,2291.665886496248
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,297.188601255018,478.68017299882206
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,524.6281584067797,746.75207435167
