Model,MAE,RMSE
Ratio OSRM Duration using all 3,190.83311236449197,370.8896119638908
Ratio OSRM Duration using OSRM km,191.30859933288045,371.8999461799806
Ratio OSRM Duration using Predicted km,191.82035591700455,372.73393397585136
Ratio of OSRM and Predicted and Error Bias,192.8459152431018,355.82077105218514
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,193.0393399067303,374.26263605330774
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,193.14268935249734,373.56944626563126
LightGBMOSRM SECONDS & OSRM KM & KM PRED,193.1838185227215,374.20675817798434
LightGBMOSRM SECONDS & PREDICTED,193.27316474749244,374.1989447345679
LightGBM quantileOSRM SECONDS & PREDICTED,193.28029003550742,374.2039271234785
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,193.31294406702955,374.57836595761796
LightGBMOSRM SECONDS & OSRM KM,193.36452638024173,374.14799022790726
LightGBM quantileOSRM SECONDS & OSRM KM,193.36452638024173,374.14799022790726
LightGBMOSRM SECONDS,193.97463930098783,375.02159237590587
LightGBM quantileOSRM SECONDS,193.97463930098783,375.02159237590587
LightGBM quantilePREDICTED DISTANCE,194.11345062223455,357.09171177146357
LightGBMOSRM DISTANCE,194.48877247686255,356.65524992599774
LightGBM quantileOSRM DISTANCE,194.62694291131567,356.86735606310657
LightGBMPREDICTED DISTANCE,194.89162521944357,358.03165234474824
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,214.0063056108849,1616.4122098270666
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,214.0063056108849,1616.4122098270666
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,297.188601255018,478.68017299882206
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,529.1356346101695,750.4694691754546
