Model,MAE,RMSE
Ratio OSRM Duration using all 3,189.66697653839782,357.27951563242385
Ratio OSRM Duration using Predicted km,190.237152315213,359.0347729762681
Ratio OSRM Duration using OSRM km,190.47330957254707,357.8463221314775
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.82489995232808,356.7994949540828
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,191.152189553015,357.8596235083159
LightGBMOSRM SECONDS & PREDICTED,192.16089298256486,360.20547071905656
LightGBM quantileOSRM SECONDS & PREDICTED,192.16089298256486,360.20547071905656
LightGBMOSRM SECONDS & OSRM KM,192.23172038273984,360.0790480973281
LightGBM quantileOSRM SECONDS & OSRM KM,192.23172038273984,360.0790480973281
LightGBM quantileOSRM SECONDS,192.2929067236037,360.1351808739708
LightGBMOSRM SECONDS,192.2929067236037,360.1351808739708
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,192.53866566908286,360.55978108836194
LightGBMOSRM SECONDS & OSRM KM & KM PRED,192.53866566908286,360.55978108836194
Ratio of OSRM and Predicted and Error Bias,193.33685314559614,355.34687734842976
LightGBMPREDICTED DISTANCE,194.76584250814423,358.32892864612467
LightGBM quantilePREDICTED DISTANCE,194.76584250814423,358.32892864612467
LightGBM quantileOSRM DISTANCE,195.83455911528927,358.40492422185713
LightGBMOSRM DISTANCE,195.83455911528927,358.40492422185713
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,228.17963902384028,2656.7906264042854
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,228.17963902384028,2656.7906264042854
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443561
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,524.6281584067797,746.75207435167
