Model,MAE,RMSE
LightGBM quantileOSRM SECONDS & PREDICTED,188.68092459032516,341.00760587083477
LightGBMOSRM SECONDS & PREDICTED,188.89939886653121,341.3981532014492
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,189.06221845117426,341.46925776344307
LightGBMOSRM SECONDS & OSRM KM & KM PRED,189.27893685078172,341.5492272799719
LightGBM quantileOSRM SECONDS & OSRM KM,189.3557705033337,341.7855820118813
LightGBMOSRM SECONDS & OSRM KM,189.4123104559614,341.6062309914603
LightGBM quantileOSRM SECONDS,189.5807362526616,341.53204726244655
LightGBMOSRM SECONDS,190.08249680320054,342.0688933816217
Ratio OSRM Duration using all 3,191.82417083423223,382.9374858539896
Ratio OSRM Duration using Predicted km,192.15743518487335,381.45219835139704
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,192.45166235503152,362.6309372875555
Ratio OSRM Duration using OSRM km,192.4687546238153,386.9270470811324
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,192.6232176583677,363.29320360661364
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,194.08856010064136,373.42682008352364
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,194.08856010064136,373.42682008352364
Ratio of OSRM and Predicted and Error Bias,196.58316210187385,372.36582658744334
LightGBM quantilePREDICTED DISTANCE,199.44270411851787,376.1530134051461
LightGBMPREDICTED DISTANCE,200.01906653875966,376.3638220026312
LightGBMOSRM DISTANCE,200.11892705300917,376.6672779886983
LightGBM quantileOSRM DISTANCE,200.2172059177984,376.80964227970463
Engineered Seconds with Traffic and OSRM Distance no ML ,283.7214393078986,466.92151227625874
Engineered Seconds with Traffic and Predicted Distance no ML ,303.2899116134752,495.45301727283925
OSRM Seconds no change,363.2970237745673,562.914757124734
Constant-median baseline  MAE,529.8163046101696,760.309182414734
