Model,MAE,RMSE
Ratio OSRM Duration using all 3,188.99721293511715,347.3784956694728
Ratio OSRM Duration using OSRM km,189.10634516791157,346.78890146876705
Ratio OSRM Duration using Predicted km,189.2048601358032,348.6154334261592
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,189.71422902718274,347.506085371757
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,189.82136918914884,347.17772188595836
LightGBMOSRM SECONDS & OSRM KM & KM PRED,190.47872847429977,349.4277215095987
LightGBM quantileOSRM SECONDS & OSRM KM,190.5007668545701,349.44137588241085
LightGBMOSRM SECONDS & PREDICTED,190.6059425049909,349.4547450443696
Ratio of OSRM and Predicted and Error Bias,190.6343984904967,357.1037447304652
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,190.6382260404101,349.5403052960402
LightGBM quantileOSRM SECONDS & PREDICTED,190.6751704472465,349.66703533670346
LightGBMOSRM SECONDS & OSRM KM,190.75537400596752,349.51826239292217
LightGBMOSRM SECONDS,190.99975565490783,350.1139785743572
LightGBM quantileOSRM SECONDS,191.0235054050064,349.853943104316
LightGBM quantilePREDICTED DISTANCE,191.11006150115247,359.0091669447278
LightGBMPREDICTED DISTANCE,191.50955302356493,359.08056072058145
LightGBMOSRM DISTANCE,192.09067768969405,357.7023087522199
LightGBM quantileOSRM DISTANCE,192.15186137734688,357.6784954107525
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,206.29966413493077,1306.476424950743
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,206.29966413493077,1306.476424950743
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443561
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,520.9073209491526,741.5016971846967
