Model,MAE,RMSE
Ratio of OSRM and Predicted and Error Bias,191.69353180735914,357.0852228755435
LightGBM quantileOSRM SECONDS & PREDICTED,192.1082017097565,353.0375928835668
LightGBMOSRM SECONDS & OSRM KM,192.2643910380435,353.2726348328949
LightGBM quantileOSRM SECONDS & OSRM KM,192.3459402838395,353.39310681937906
LightGBMOSRM SECONDS & OSRM KM & KM PRED,192.4373944909796,353.1231297290175
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,192.4528268120007,352.90947357338183
LightGBMOSRM SECONDS & PREDICTED,192.48136166596777,353.32546986894795
LightGBM quantileOSRM SECONDS,192.88586815899617,353.5400327471818
LightGBMOSRM SECONDS,193.04959501390545,353.7634849657163
LightGBM quantilePREDICTED DISTANCE,193.87003882643296,359.589316599661
Ratio OSRM Duration using all 3,193.93458638060537,376.9189572656923
LightGBMPREDICTED DISTANCE,194.13225269800554,360.0951365477717
LightGBM quantileOSRM DISTANCE,194.42907098859527,359.81192580116664
LightGBMOSRM DISTANCE,194.53229349438132,360.24569661152054
Ratio OSRM Duration using Predicted km,195.1636472236058,387.4055196188037
Ratio OSRM Duration using OSRM km,195.49959731302764,392.10195160474996
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,196.64864585366297,383.836339496515
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,196.64864585366297,383.836339496515
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,196.69392178551868,384.72201538630276
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,197.174600034476,392.28460440838575
Engineered Seconds with Traffic and OSRM Distance no ML ,283.7214393078986,466.92151227625874
Engineered Seconds with Traffic and Predicted Distance no ML ,303.2899116134752,495.45301727283925
OSRM Seconds no change,363.2970237745673,562.914757124734
Constant-median baseline  MAE,520.9073209491526,741.5016971846967
