Model,MAE,RMSE
Ratio OSRM Duration using all 3,189.38477631178895,354.43087367432554
Ratio OSRM Duration using OSRM km,189.68317497836208,354.48542154117854
Ratio OSRM Duration using Predicted km,189.9733995057826,356.4330013548253
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,190.02125664479468,354.6331533045667
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.06793109896975,353.6440224489981
Ratio of OSRM and Predicted and Error Bias,191.40385601311337,350.73468251021774
LightGBM quantileOSRM SECONDS & OSRM KM,191.51190381061747,357.5463408718859
LightGBMOSRM SECONDS & PREDICTED,191.90795916389683,357.5397149455772
LightGBMOSRM SECONDS & OSRM KM,191.91967905784813,357.18915089917385
LightGBMOSRM SECONDS & OSRM KM & KM PRED,191.95720865853554,357.5440097678299
LightGBM quantileOSRM SECONDS & PREDICTED,192.13987410266228,357.69126939335524
LightGBMOSRM SECONDS,192.22363520409334,357.888539465002
LightGBM quantileOSRM SECONDS,192.23533163789162,357.49915989667244
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,192.26318802614713,358.1268244200555
LightGBMPREDICTED DISTANCE,192.8243149720505,353.20869665732243
LightGBM quantilePREDICTED DISTANCE,192.8243149720505,353.20869665732243
LightGBM quantileOSRM DISTANCE,193.64496243022913,352.72744969728046
LightGBMOSRM DISTANCE,193.64496243022913,352.72744969728046
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,204.11535770916726,854.5097066518646
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,204.11535770916726,854.5097066518646
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443561
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,520.2590521694915,738.867682637894
