Model,MAE,RMSE
Ratio OSRM Duration using all 3,188.56584338347488,350.99353007798413
Ratio OSRM Duration using Predicted km,189.31778970936728,354.14420507573647
Ratio OSRM Duration using OSRM km,189.66757891248048,353.66447736843816
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.69301861568775,354.79075114880897
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,190.76422911070068,355.08884921244885
Ratio of OSRM and Predicted and Error Bias,190.9783123566215,349.63748236568847
LightGBMOSRM SECONDS & PREDICTED,190.99067524649945,355.75495616935655
LightGBM quantileOSRM SECONDS & PREDICTED,190.99067524649945,355.75495616935655
LightGBMOSRM SECONDS & OSRM KM & KM PRED,191.059722607554,355.51950240554777
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,191.059722607554,355.51950240554777
LightGBMOSRM SECONDS & OSRM KM,191.29581929166227,356.2702139066427
LightGBM quantileOSRM SECONDS & OSRM KM,191.29581929166227,356.2702139066427
LightGBMOSRM SECONDS,191.79448657573593,356.3986634184193
LightGBM quantileOSRM SECONDS,191.79448657573593,356.3986634184193
LightGBMOSRM DISTANCE,193.64496243022913,352.72744969728046
LightGBM quantileOSRM DISTANCE,193.64496243022913,352.72744969728046
LightGBM quantilePREDICTED DISTANCE,193.99364585258735,354.30046922279826
LightGBMPREDICTED DISTANCE,193.99364585258735,354.30046922279826
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,204.3251031573663,801.3752771107403
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,204.3251031573663,801.3752771107403
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,297.188601255018,478.68017299882206
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,520.2590521694915,738.867682637894
