Model,MAE,RMSE
Ratio OSRM Duration using all 3,191.2594852270641,383.2526534441286
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,191.79759570809065,382.34030008096306
Ratio OSRM Duration using Predicted km,191.8609431916206,384.4640845360863
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,192.02663607367353,382.8485898864226
Ratio OSRM Duration using OSRM km,192.0391031959465,383.3688865696733
Ratio of OSRM and Predicted and Error Bias,192.87603373347977,355.35327865124066
LightGBM quantilePREDICTED DISTANCE,193.14783618727043,356.19895818067977
LightGBMPREDICTED DISTANCE,193.46479315069018,356.63878936393866
LightGBM quantileOSRM SECONDS & PREDICTED,193.69703307622868,385.8546941829544
LightGBM quantileOSRM SECONDS & OSRM KM,193.71698371286132,385.7933125125013
LightGBMOSRM SECONDS & OSRM KM,193.75748711653324,386.05572048081405
LightGBMOSRM SECONDS & PREDICTED,193.78697281645572,385.78422775220685
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,193.96803943367692,386.1199772251863
LightGBMOSRM SECONDS,194.02505995297597,386.0644416466176
LightGBM quantileOSRM SECONDS,194.06825027133664,386.16517371754526
LightGBMOSRM SECONDS & OSRM KM & KM PRED,194.24081947518937,386.3573630703236
LightGBMOSRM DISTANCE,194.48877247686255,356.65524992599774
LightGBM quantileOSRM DISTANCE,194.62694291131567,356.86735606310657
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,209.56758257498447,1527.9103252502398
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,209.56758257498447,1527.9103252502398
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443561
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,529.1356346101695,750.4694691754546
