Model,MAE,RMSE
Ratio OSRM Duration using all 3,185.7342665972247,334.64424997615185
Ratio OSRM Duration using OSRM km,186.18278168869386,334.9866044775036
Ratio OSRM Duration using Predicted km,186.24496589595006,335.96220051074283
LightGBM quantileOSRM SECONDS & OSRM KM,187.5852820869664,338.11291363470775
LightGBMOSRM SECONDS & OSRM KM & KM PRED,187.64405744512501,338.0108589060927
LightGBMOSRM SECONDS & OSRM KM,187.7633289513005,338.2450498189024
LightGBMOSRM SECONDS & PREDICTED,187.85340160649582,338.4314722162954
LightGBMOSRM SECONDS,188.06124040465244,338.4145317490819
LightGBM quantileOSRM SECONDS & PREDICTED,188.0735846639937,338.35680663038147
LightGBM quantileOSRM SECONDS,188.1196255037065,338.18037857937605
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,188.14231584363645,338.48865683394143
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,188.71692142519768,339.85324714574443
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,189.02786710937232,340.0475297261251
Ratio of OSRM and Predicted and Error Bias,195.6668134347967,372.81058090478865
LightGBM quantilePREDICTED DISTANCE,197.98306209861462,376.61684117206573
LightGBMPREDICTED DISTANCE,198.1030101653954,376.75005704054803
LightGBM quantileOSRM DISTANCE,198.14303648452932,374.8482302750631
LightGBMOSRM DISTANCE,198.19936833598274,375.33939083951884
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,294.1141431798231,11531.766583597722
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,294.1141431798231,11531.766583597722
Engineered Seconds with Traffic and Predicted Distance no ML ,297.188601255018,478.68017299882206
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,529.8163046101696,760.309182414734
