Model,MAE,RMSE
Log-XGB + osrm_sec,1.6694895124307718,3.1724297063461964
BLENDED Light GBM and XGBOOST + none,1.7368440994837948,3.372351911590924
XGBoostsec_pred,1.7452003387569153,3.12202681997757
XGBoostkm_pred+sec_pred,1.7465387392649219,3.131375471582952
XGBoostkm_pred+sec_pred+osrm_sec,1.7468742601173293,3.126047728857152
LightGBMkm_pred+sec_pred+osrm_km,1.7485123999390937,3.1234578260597248
LightGBMsec_pred+osrm_sec+osrm_km,1.7489800291540485,3.114014166793851
LightGBMkm_pred+sec_pred+osrm_sec+osrm_km,1.7490328544528497,3.124176988985184
XGBoostsec_pred+osrm_sec+osrm_km,1.7492295108156726,3.1339483345718757
LightGBMkm_pred+sec_pred,1.749404578519371,3.123140529767833
Log-XGB + none,1.7495967542473745,3.370332134217057
XGBoostsec_pred+osrm_sec,1.7506904679309077,3.1321409043081365
LightGBMsec_pred+osrm_km,1.7516518923009716,3.123339146446138
XGBoostkm_pred+sec_pred+osrm_sec+osrm_km,1.7523673252265877,3.139339457360126
XGBoostsec_pred+osrm_km,1.7528050608497208,3.1460792601023355
XGBoostkm_pred+sec_pred+osrm_km,1.7545136853016545,3.1420247993483073
LightGBMsec_pred,1.754819113903337,3.1178516515509584
Log-LightGBM and none,1.755021537336613,3.397326936717277
LightGBMkm_pred+sec_pred+osrm_sec,1.755120559164218,3.1243549986019916
LightGBM_regressionl1none,1.7553461163691768,3.507282886370188
XGBoostkm_pred+osrm_sec,1.7559326238897623,3.1411369830194533
XGBoostkm_pred,1.7559795800469242,3.1443009169297502
XGBoostkm_pred+osrm_sec+osrm_km,1.7563110382199747,3.143125652947261
XGBoostkm_pred+osrm_km,1.7608289705082583,3.1535433624263147
LightGBMsec_pred+osrm_sec,1.7617188737106433,3.127962977928326
LightGBMkm_pred,1.763136788283588,3.1385410800816715
Light GBM Log Quantile Median Regression + none,1.7639412602410145,3.491458966048921
LightGBMkm_pred+osrm_km,1.7640109781999789,3.1387930152769474
LightGBMkm_pred+osrm_sec+osrm_km,1.765793241499426,3.134117493453076
LightGBMkm_pred+osrm_sec,1.7664070601153907,3.1431596752713373
XGBoostosrm_km,1.7665210333057038,3.213915127086898
XGBoostosrm_sec+osrm_km,1.7678241853243246,3.2208804860890323
XGBoostosrm_sec,1.7731715103756853,3.2276078560679697
LightGBMosrm_sec+osrm_km,1.7833976445349655,3.2299299902023413
LightGBMosrm_km,1.7835990156054222,3.2220177086587034
LightGBMosrm_sec,1.7881936848508246,3.2248647313355416
XGBoostnone,1.8362696677091566,3.3946212426485762
LightGBMnone,1.912508933896746,3.438094626848849
KNN (k=8)sec_pred+osrm_km,1.941627709162669,3.430534179675097
KNN (k=8)km_pred+sec_pred,1.9460585723520807,3.438474341470196
KNN (k=8)sec_pred+osrm_sec,1.9470664063829062,3.445052354025856
KNN (k=8)km_pred+sec_pred+osrm_km,1.9491854649382465,3.434583560762938
KNN (k=8)sec_pred+osrm_sec+osrm_km,1.9516905685413901,3.4408050023429166
KNN (k=8)km_pred+sec_pred+osrm_sec,1.9562202715116874,3.4477354743599773
KNN (k=8)km_pred+sec_pred+osrm_sec+osrm_km,1.9593367867714608,3.4466143352521224
KNN (k=8)sec_pred,1.9603632064237353,3.4582852310728804
KNN (k=8)km_pred+osrm_sec,1.9988683185328842,3.4912922927104386
KNN (k=8)km_pred+osrm_sec+osrm_km,1.9999876237623764,3.4854320299527117
KNN (k=8)km_pred,2.004058130039808,3.4939536956700366
KNN (k=8)km_pred+osrm_km,2.00540756524106,3.4891282683959384
KNN (k=8)osrm_sec+osrm_km,2.0358668254398755,3.5823705281339735
KNN (k=8)osrm_km,2.037111740176967,3.5900689151124436
KNN (k=8)osrm_sec,2.0412757653320677,3.5940990470070764
ElasticNetkm_pred+sec_pred+osrm_km,2.075489611905626,3.5017792669366683
ElasticNetkm_pred+sec_pred+osrm_sec+osrm_km,2.0754896174361925,3.501779277443746
LinearRegkm_pred+sec_pred+osrm_sec+osrm_km,2.0755065308047405,3.50187546561891
LinearRegkm_pred+sec_pred+osrm_km,2.0757376912903336,3.501854273011707
ElasticNetkm_pred+sec_pred+osrm_sec,2.0779795067654065,3.5057605183640055
ElasticNetkm_pred+sec_pred,2.0780685515696735,3.50578237877934
LinearRegkm_pred+sec_pred+osrm_sec,2.0782841544640567,3.5059237554674114
LinearRegkm_pred+sec_pred,2.078624026964656,3.505949018590866
ElasticNetsec_pred+osrm_km,2.083989552004626,3.5189239325712123
ElasticNetsec_pred+osrm_sec+osrm_km,2.0845764700548046,3.5173802003206283
LinearRegsec_pred+osrm_km,2.0845982857491876,3.5190921357034664
LinearRegsec_pred+osrm_sec+osrm_km,2.0850958360744234,3.517534329452939
ElasticNetsec_pred+osrm_sec,2.0955112705450087,3.5288590085860965
LinearRegsec_pred+osrm_sec,2.096224014433617,3.5289669063718865
ElasticNetsec_pred,2.140592134647328,3.5955164782099254
LinearRegsec_pred,2.141492424289388,3.5956006376207124
LinearRegkm_pred+osrm_sec+osrm_km,2.153719720466026,3.581380247045425
ElasticNetkm_pred+osrm_sec+osrm_km,2.156038625756919,3.582083090580119
DecisionTreesec_pred,2.1588312505674208,3.8201759830206896
DecisionTreekm_pred+sec_pred,2.1598407735329346,3.8765223384828196
DecisionTreesec_pred+osrm_km,2.1627762443154817,3.8665474439437015
DecisionTreekm_pred+sec_pred+osrm_km,2.1630245873530933,3.8836521150369587
DecisionTreekm_pred+sec_pred+osrm_sec,2.166840736506921,3.8561467388081567
DecisionTreekm_pred+sec_pred+osrm_sec+osrm_km,2.170228907193253,3.8744004656862923
ElasticNetkm_pred+osrm_sec,2.171176252710006,3.5968508499487992
LinearRegkm_pred+osrm_sec,2.171704935723816,3.5970036173560125
LinearRegkm_pred+osrm_km,2.1717250243166912,3.604351312209291
DecisionTreesec_pred+osrm_sec+osrm_km,2.1721273305568096,3.8570601591530607
ElasticNetkm_pred+osrm_km,2.1755370905903555,3.6053809591931665
ElasticNetkm_pred,2.1924928698180843,3.621186574748373
LinearRegkm_pred,2.1926437081501176,3.6213589576107674
DecisionTreesec_pred+osrm_sec,2.2007147955285085,3.9405127402421876
ElasticNetosrm_sec+osrm_km,2.223099156198129,3.7016981104310887
LinearRegosrm_sec+osrm_km,2.22345761722023,3.7017422267378803
ElasticNetosrm_sec,2.226011313588348,3.7047421077418656
LinearRegosrm_sec,2.226451178404688,3.7048167249992265
DecisionTreekm_pred+osrm_sec,2.2398539206831387,3.9563160420007253
DecisionTreekm_pred,2.2461913689882467,3.9499098184234436
DecisionTreekm_pred+osrm_km,2.2500708097758952,3.965879864510156
KNN (k=8)none,2.2529262288135596,3.9195966644300837
DecisionTreekm_pred+osrm_sec+osrm_km,2.257851724328267,3.9845534370703923
DecisionTreeosrm_km,2.257926429853314,3.9695201555659487
DecisionTreeosrm_sec,2.2597494483665876,3.9922043458909244
DecisionTreeosrm_sec+osrm_km,2.2731343412810023,4.011387562139743
LinearRegosrm_km,2.278771666637414,3.7706380074982575
ElasticNetosrm_km,2.2788897187297326,3.770705813723761
DecisionTreenone,2.7620735653743935,4.481670754784724
LinearRegnone,3.711329086984544,5.372297630648047
ElasticNetnone,3.7115736221106883,5.37248492154854
