Model,MAE,RMSE
Light GBM Log Quantile Median Regression + km_pred+sec_pred,1.6088457761218156,3.237225477314111
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec+osrm_km,1.611435657074188,3.2419909905737554
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec+osrm_km,1.6126017156022756,3.0991730440068097
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_km,1.6129930207759176,3.256540933261819
Log-LightGBM and sec_pred+osrm_sec+osrm_km,1.6132603877160843,3.105106228191972
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec,1.613545768598705,3.1029883807759546
BLENDED Light GBM and XGBOOST + sec_pred+osrm_km,1.6138249811623437,3.100603942584066
Log-LightGBM and km_pred+sec_pred+osrm_sec,1.61406336503801,3.110379993666218
Log-LightGBM and km_pred+sec_pred+osrm_sec+osrm_km,1.6146706647816402,3.109752751953268
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec+osrm_km,1.614864206632587,3.10449128094784
BLENDED Light GBM and XGBOOST + km_pred+sec_pred,1.6151128612619983,3.1076980179185876
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec,1.61535114475659,3.101945160251959
BLENDED Light GBM and XGBOOST + km_pred,1.615709682719265,3.0998701412678256
Log-LightGBM and sec_pred+osrm_km,1.6157941075272595,3.107272952943374
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_km,1.6158188772976618,3.112162175178759
Log-LightGBM and km_pred+sec_pred+osrm_km,1.616451790766069,3.119344768658835
Log-LightGBM and km_pred,1.6165782541345846,3.1107973738080044
Log-LightGBM and km_pred+sec_pred,1.6166912343257935,3.1152843978523093
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec+osrm_km,1.6173477120442112,3.1095800982709925
Light GBM Log Quantile Median Regression + sec_pred+osrm_km,1.6175608927131213,3.2571295380479968
BLENDED Light GBM and XGBOOST + km_pred+osrm_km,1.6178357615387593,3.102447022423445
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec+osrm_km,1.6178768452424248,3.255550171886004
Log-LightGBM and km_pred+osrm_km,1.6184356252264858,3.110829438469902
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec,1.618462351081415,3.2607221717479984
Log-LightGBM and km_pred+osrm_sec,1.6189223571037994,3.1137710615733196
Log-LightGBM and km_pred+osrm_sec+osrm_km,1.6194405708293427,3.1206531014003978
LightGBM_regressionl1km_pred+sec_pred+osrm_km,1.6202192755237244,3.271385998486201
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec,1.6202612540589263,3.11006627513211
Light GBM Log Quantile Median Regression + km_pred,1.620447910688802,3.2535747425307635
LightGBM_regressionl1sec_pred+osrm_km,1.620921063643496,3.266296384796113
Light GBM Log Quantile Median Regression + km_pred+osrm_km,1.6213195567410619,3.252676196725348
LightGBM_regressionl1km_pred+sec_pred+osrm_sec+osrm_km,1.6215352857467256,3.263942010871809
BLENDED Light GBM and XGBOOST + sec_pred,1.6223412058063207,3.1082515069355163
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec,1.6225592912910018,3.2535012799963994
LightGBM_regressionl1sec_pred+osrm_sec+osrm_km,1.6232319997313804,3.2680362545166495
Log-LightGBM and sec_pred+osrm_sec,1.623240263436648,3.1208955870845205
Light GBM Log Quantile Median Regression + km_pred+osrm_sec,1.6239708842248777,3.266279791698246
Light GBM Log Quantile Median Regression + km_pred+osrm_sec+osrm_km,1.6241587109887385,3.2602824534577057
LightGBM_regressionl1km_pred+sec_pred,1.624768823129457,3.274116186583471
Light GBM Log Quantile Median Regression + sec_pred,1.6252014771570782,3.2410772853866607
Log-LightGBM and sec_pred,1.6254332579656625,3.118141907137912
LightGBM_regressionl1sec_pred+osrm_sec,1.6266356523786116,3.2677796325423714
LightGBM_regressionl1km_pred+sec_pred+osrm_sec,1.628074896147123,3.283316747226776
LightGBM_regressionl1sec_pred,1.6318540706344005,3.261506693546467
BLENDED Light GBM and XGBOOST + osrm_sec+osrm_km,1.6326186492365247,3.127052815322374
Log-LightGBM and osrm_sec+osrm_km,1.633493901085248,3.1359017550968007
LightGBM_regressionl1km_pred+osrm_sec,1.6359694372885365,3.296501719384561
BLENDED Light GBM and XGBOOST + osrm_km,1.6367858028678492,3.1331882919031337
LightGBM_regressionl1km_pred,1.6368201783960055,3.292634440165404
