Model,MAE,RMSE
Light GBM Log Quantile Median Regression + sec_pred+osrm_km,1.633169457393221,3.5320587509870873
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_km,1.634426578112394,3.5386424690277813
Light GBM Log Quantile Median Regression + km_pred+osrm_sec,1.6345067868209548,3.545442830119524
Light GBM Log Quantile Median Regression + km_pred+sec_pred,1.6366770306369303,3.539091609075209
Light GBM Log Quantile Median Regression + km_pred+osrm_sec+osrm_km,1.6371425091325946,3.544800551546622
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec,1.6373357854779933,3.4145444660950113
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec+osrm_km,1.6383803215259796,3.4158512250529407
LightGBM_regressionl1km_pred+sec_pred,1.6385216929882949,3.5542996434710417
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec,1.6385264420575762,3.5467611185170194
BLENDED Light GBM and XGBOOST + km_pred,1.6388140251925947,3.4138673748717103
BLENDED Light GBM and XGBOOST + km_pred+osrm_km,1.6392567108140237,3.4135898752113873
Log-LightGBM and km_pred+osrm_sec+osrm_km,1.6393743888495003,3.423471002999597
Log-LightGBM and km_pred+osrm_sec,1.6395929425130706,3.4260920239903703
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec+osrm_km,1.6396355565974743,3.5449408668610145
Log-LightGBM and km_pred,1.6397069355162803,3.422653430722927
BLENDED Light GBM and XGBOOST + sec_pred+osrm_km,1.6400035697350948,3.4176292541743147
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec,1.6402878333077804,3.4204584148427397
Log-LightGBM and sec_pred+osrm_km,1.640335646960164,3.425758347730773
Log-LightGBM and km_pred+osrm_km,1.6405234615742896,3.4224871691690524
LightGBM_regressionl1km_pred+sec_pred+osrm_sec+osrm_km,1.6406458468379552,3.552532261543186
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_km,1.6409797847327225,3.4164785557207424
Log-LightGBM and km_pred+sec_pred+osrm_sec,1.6409957633988257,3.4277962547577085
Log-LightGBM and km_pred+sec_pred+osrm_km,1.6412391680884943,3.4217689681334775
Light GBM Log Quantile Median Regression + km_pred+osrm_km,1.6419629474260709,3.548685162203219
LightGBM_regressionl1km_pred+sec_pred+osrm_km,1.6419670635737864,3.5527936583528046
Light GBM Log Quantile Median Regression + km_pred,1.6420686575244126,3.555569934851299
Log-LightGBM and sec_pred+osrm_sec+osrm_km,1.6421259015747232,3.4284211314680166
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec+osrm_km,1.6423434382618525,3.4217960425251333
BLENDED Light GBM and XGBOOST + km_pred+sec_pred,1.642441239167903,3.425589343651778
LightGBM_regressionl1sec_pred+osrm_km,1.6425635678847499,3.5554333510765956
Log-LightGBM and km_pred+sec_pred,1.6428862235737829,3.4324991406465815
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec+osrm_km,1.6438582385484026,3.4198547707048474
Log-LightGBM and km_pred+sec_pred+osrm_sec+osrm_km,1.6442600883817817,3.425892608411424
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec,1.645197541680569,3.5506304670193334
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec+osrm_km,1.6472873997253166,3.562491123081617
LightGBM_regressionl1sec_pred+osrm_sec+osrm_km,1.6473984337038579,3.5668224063454437
LightGBM_regressionl1km_pred+osrm_sec,1.6479422558907757,3.568262155716315
LightGBM_regressionl1km_pred+sec_pred+osrm_sec,1.6483475248587027,3.5697443724800344
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec,1.649196609740448,3.420764236162534
Log-LightGBM and sec_pred+osrm_sec,1.6499999151331473,3.4245586110058097
