Model,MAE,RMSE
"OSRM Log in Feature, Log Ratio",0.6248610218961715,2.443640630069752
"OSRM in Feature, Log Ratio",0.6248610282068514,2.4436406286380943
"OSRM in Feature, Ratio",0.6265375038482334,2.4427741392646034
"OSRM Log in Feature, Ratio",0.6265375038482334,2.4427741392646034
"OSRM km sec Feature, Direct",0.6290566959532622,2.4891036221656213
"OSRM not in Feature, Ratio",0.6298137308156966,2.4492640061138666
"OSRM not in Feature, Log Ratio",0.6301827249707493,2.447499487419604
"OSRM km and sec Feature, Ratio",0.6309465995306122,2.500488047297637
"OSRM km Feature, Direct",0.6349519350884855,2.493095421343277
"OSRM sec in Feature, Ratio",0.6382678627369638,2.5139554180795685
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.9022969462429327,4.308048173355101
