Model,MAE,RMSE
"OSRM in Feature, Log Ratio",0.597347717788371,2.0301207716182477
"OSRM Log in Feature, Log Ratio",0.597348042033866,2.030120802055403
"OSRM in Feature, Ratio",0.5985679006498074,2.03152478479963
"OSRM Log in Feature, Ratio",0.59856805250312,2.031524790168809
"OSRM km sec Feature, Direct",0.5989106502636242,1.9472504785462088
"OSRM km and sec Feature, Ratio",0.6020105761746557,1.9697020786673838
"OSRM not in Feature, Log Ratio",0.6020959436918146,2.039925657795301
"OSRM not in Feature, Ratio",0.6030383735935914,2.0411861488435292
"OSRM km Feature, Direct",0.6054420148870016,1.9547510815782803
"OSRM sec in Feature, Ratio",0.6067928522564238,1.9743489659107913
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.887165423652317,4.396439623082553
