Model,MAE,RMSE
"OSRM Log in Feature, Log Ratio",0.6054801247104797,1.9409004068532898
"OSRM in Feature, Log Ratio",0.6054804107201031,1.9409005581227556
"OSRM Log in Feature, Ratio",0.6065245915870614,1.9414489663667074
"OSRM in Feature, Ratio",0.6065248810543724,1.9414490712869632
"OSRM not in Feature, Log Ratio",0.6092517617577555,1.9504045840718913
"OSRM not in Feature, Ratio",0.6094599819234031,1.9476790269148228
"OSRM km sec Feature, Direct",0.6111205361388683,2.0042282275017285
"OSRM km and sec Feature, Ratio",0.611305737245417,2.0130744421049394
"OSRM sec in Feature, Ratio",0.6173235918463326,2.017176465597853
"OSRM km Feature, Direct",0.6177051579231031,2.0143070986942093
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.8731759182872385,4.253342692928102
