Model,MAE,RMSE
"OSRM in Feature, Ratio",0.5943696136888347,1.5762786104651376
"OSRM Log in Feature, Ratio",0.5943697692401374,1.5762786684351904
"OSRM in Feature, Log Ratio",0.5945379332712967,1.5734731484230784
"OSRM Log in Feature, Log Ratio",0.5945410467300148,1.573474250647492
"OSRM not in Feature, Ratio",0.5985848825928772,1.5846787629623589
"OSRM not in Feature, Log Ratio",0.598928295963906,1.5912112332254362
"OSRM km and sec Feature, Ratio",0.6002853852655669,1.562194315118565
"OSRM km sec Feature, Direct",0.6003461379000872,1.5450817781662025
"OSRM km Feature, Direct",0.6062207375077551,1.5537162965656206
"OSRM sec in Feature, Ratio",0.6080931409885315,1.5728395005586067
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.916372185197268,4.32678428434569
