Model,MAE,RMSE
"OSRM km and sec Feature, Ratio",0.6084474233070211,2.295489666573457
"OSRM km sec Feature, Direct",0.6109915278125552,2.301522602444011
"OSRM in Feature, Ratio",0.6114862089857035,2.3062346198102524
"OSRM Log in Feature, Ratio",0.6114862089857035,2.3062346198102524
"OSRM in Feature, Log Ratio",0.6116765197044004,2.3093095063728417
"OSRM Log in Feature, Log Ratio",0.6116765197044004,2.3093095063728417
"OSRM km Feature, Direct",0.6150560931873132,2.3034604109426344
"OSRM not in Feature, Log Ratio",0.6165039327425055,2.312389770066743
"OSRM not in Feature, Ratio",0.6171221674998498,2.3141990139506277
"OSRM sec in Feature, Ratio",0.6175188491713502,2.307420255525512
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.873446644549066,4.43171490190307
